sku,attribute_set_code,store_view_code,product_type,Y,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
producto,Default,,simple,"Default Category/Salud Humana,Default Category/Salud Humana/Digestivo,Default Category/Salud Humana/Diabetes,Default Category/Salud Humana",base,Producto,"<p>Descripcion</p>
<ul>
<li>A</li>
<li>B</li>
<li>C</li
</ul>",Alto x Ancho x Fuelle Aprox.,20,1,Taxable Goods,"Catalog, Search",7400,,,,producto,Producto,Producto,Descripcion para indexamiento,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"alto=10,ancho=10,featured=Yes,largo=10,timershow=Yes",19,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
B25-02,,,,Minime,,MINIME GRANDE CRAZY OSCURO/CACAO,,"9,5"" x 7,5"" tira 55""",187,,,,,,,,mismo q sku,MINIME GRANDE CRAZY OSCURO/CACAO,"bolso,cuero,crusar,diario,pequeño,","Bolso de cuero sin forrar. Cierre con broche magnético. Correa ajustable. 

Unlined leather cross body bag. Magnetic clasp closure. Adjustable cross body strap.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B25-49,,,,mujer/bolso/minimie,,MINIME GRANDE LIMPET,,"9,5"" x 7,5"" tira 55""",184,,,,,,,,,MINIME GRANDE LIMPET,"bolso,cuero,crusar,diario,pequeño,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B25-01,,,,,,MINIME GRANDE MIEL,,"9,5"" x 7,5"" tira 55""",200,,,,,,,,,MINIME GRANDE MIEL,"bolso,cuero,crusar,diario,pequeño,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B25-03,,,,,,MINIME GRANDE NEGRO,,"9,5"" x 7,5"" tira 55""",196,,,,,,,,,MINIME GRANDE NEGRO,"bolso,cuero,crusar,diario,pequeño,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B25-15,,,,,,MINIME GRANDE VAINILLA,,"9,5"" x 7,5"" tira 55""",200,,,,,,,,,MINIME GRANDE VAINILLA,"bolso,cuero,crusar,diario,pequeño,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B25-46,,,,,,MINIME GRANDE PEACH,,"9,5"" x 7,5"" tira 55""",220,,,,,,,,,MINIME GRANDE PEACH,"bolso,cuero,crusar,diario,pequeño,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B46-01,,,,Basico,,BASICO MIEL,,"8,5""x8,5 x 2"" tira 54""-59""",240,,,,,,,,,BASICO MIEL,,"Bolso de cuero sin forrar. Cierre con broche. Correa ajustable.
Unlined leather shoulder bag.  Clasp closure. Adjustable strap.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B46-39,,,,,,BASICO PULL UP CACAO,,"8,5""x8,5 x 2"" tira 54""-59""",260,,,,,,,,,BASICO PULL UP CACAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B85-52,,,,Goovy,,GROOVY DORADO,,"6"" x 8"" x 2"" tira 47,5""-52,5""",210,,,,,,,,,GROOVY DORADO,,"Bolso de cuero sin forrar. Cierre de broche mágnetico. Correa ajustable.
Unlined leather crossbody bag. Magnetic clasp closure. Adjustable cross body strap.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B85-57,,,,,,GROOVY NEGRO LAGARTO,,"""",240,,,,,,,,,GROOVY NEGRO LAGARTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
