sku,attribute_set_code,store_view_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
B25-02,Default,1,Default,"Default Category/Mujer,Default Category/bolsos, Default Category/On the go",base,MINIME CACAO,,"9,5"" x 7,5"" tira 55""",213,1,Taxable Goods,"Catalog, Search"," 29,500 ",,,,B25-02,MINIME CACAO,"bolso,cuero,crusar,diario,pequeño,",Bolso de cuero sin forrar. Cierre con broche magnético. Correa ajustable. ,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes,alto=10,largo=20,ancho=20",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
B25-002,Default,2,Default,"Default Category/Women,Default Category/Bags,Default Category/On the go",,MINIME BROWN,,"9,5"" x 7,5"" Strap 55""",213,1,Taxable Goods,"Catalog, Search", 100 ,,,,B25-002,MINIME BROWN,"Bag, leather, cross, daily, small",Unlined leather cross body bag. Magnetic clasp closure. Adjustable cross body strap.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B25-49,Default,1,simple,"Default Category/Mujer,Default Category/bolsos, Default Category/On the go",base,MINIME LIMPET,,"9,5"" x 7,5"" tira 55""",213,1,Taxable Goods,"Catalog, Search"," 29,500 ",,,,B25-49,MINIME LIMPET,"bolso,cuero,crusar,diario,pequeño,",Bolso de cuero sin forrar. Cierre con broche magnético. Correa ajustable. ,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
B25-049,,2,,"Default Category/Women,Default Category/Bags,Default Category/On the go",,MINIME LIMPET,,"9,5"" x 7,5"" Strap 55""",213,1,Taxable Goods,"Catalog, Search", 100 ,,,,B25-049,MINIME LIMPET,"Bag, leather, cross, daily, small",Unlined leather cross body bag. Magnetic clasp closure. Adjustable cross body strap.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B25-01,Default,1,simple,"Default Category/Mujer,Default Category/bolsos, Default Category/On the go",base,MINIME MIEL,,"9,5"" x 7,5"" tira 55""",213,1,Taxable Goods,"Catalog, Search"," 29,500 ",,,,B25-01,MINIME MIEL,"bolso,cuero,crusar,diario,pequeño,",Bolso de cuero sin forrar. Cierre con broche magnético. Correa ajustable. ,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
B25-001,,2,,"Default Category/Women,Default Category/Bags,Default Category/On the go",,MINIME HONEY,,"9,5"" x 7,5"" Strap 55""",213,1,Taxable Goods,"Catalog, Search", 100 ,,,,B25-001,MINIME HONEY,"Bag, leather, cross, daily, small",Unlined leather cross body bag. Magnetic clasp closure. Adjustable cross body strap.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B25-03,Default,1,simple,"Default Category/Mujer,Default Category/bolsos, Default Category/On the go",base,MINIME NEGRO,,"9,5"" x 7,5"" tira 55""",213,1,Taxable Goods,"Catalog, Search"," 29,500 ",,,,B25-03,MINIME NEGRO,"bolso,cuero,crusar,diario,pequeño,",Bolso de cuero sin forrar. Cierre con broche magnético. Correa ajustable. ,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
B25-003,,2,,"Default Category/Women,Default Category/Bags,Default Category/On the go",,MINIME BLACK,,"9,5"" x 7,5"" Strap 55""",213,1,Taxable Goods,"Catalog, Search", 100 ,,,,B25-003,MINIME BLACK,"Bag, leather, cross, daily, small",Unlined leather cross body bag. Magnetic clasp closure. Adjustable cross body strap.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B25-15,Default,1,simple,"Default Category/Mujer,Default Category/bolsos, Default Category/On the go",base,MINIME VAINILLA,,"9,5"" x 7,5"" tira 55""",213,1,Taxable Goods,"Catalog, Search"," 29,500 ",,,,B25-15,MINIME VAINILLA,"bolso,cuero,crusar,diario,pequeño,",Bolso de cuero sin forrar. Cierre con broche magnético. Correa ajustable. ,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
B25-015,,2,,"Default Category/Women,Default Category/Bags,Default Category/On the go",,MINIME VAINILLA,,"9,5"" x 7,5"" Strap 55""",213,1,Taxable Goods,"Catalog, Search", 100 ,,,,B25-015,MINIME VAINILLA,"Bag, leather, cross, daily, small",Unlined leather cross body bag. Magnetic clasp closure. Adjustable cross body strap.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
